customer_id,name,region,age,plan_type,signup_date,total_call_minutes,total_data_gb,total_sms,total_revenue,support_tickets
CUST0030,Jeffrey Chavez,North,31,Postpaid,2023-08-14,34659.60,980.10,4530.00,4550.70,2
CUST0031,Pamela Romero,South,59,Postpaid,2022-12-13,1013.90,16.59,249.00,46.34,0
CUST0032,Elizabeth Fowler,north,59,Postpaid,2025-02-01,15051.18,291.00,1704.00,1699.24,0
CUST0033,James Martin,South,34,Prepaid,2024-10-01,10574.70,416.49,2652.00,2403.75,3
CUST0035,Sherry Decker,West,55,Postpaid,2023-10-21,74966.85,1454.85,3969.00,7413.12,3
CUST0036,David Bradley,East,32,Prepaid,2022-10-31,10524.87,213.66,2025.00,1576.65,3
CUST0037,John Jones,north,23,Prepaid,2024-10-05,1752.88,76.86,1044.00,835.89,1
CUST0038,Betty Alvarez,North,27,Prepaid,2024-11-01,2228.16,164.60,1760.00,222.00,2
CUST0039,Joseph Obrien,West,56,Prepaid,2023-05-26,40702.50,1198.40,6100.00,6648.56,2
CUST0040,Nicole Vaughn,West,42,Postpaid,2023-10-28,61313.70,1768.62,6825.00,10030.35,3
CUST0041,Michael Brooks,East,53,Prepaid,2024-09-12,2692.72,139.04,1536.00,1128.72,2
CUST0042,David Brown,North,61,Postpaid,2022-08-02,41454.50,871.90,4310.00,5103.54,1
CUST0043,Crystal Robinson,East,25,Postpaid,2022-10-19,33177.90,270.16,1786.00,1713.96,0
CUST0044,Amy Jones,West,28,Postpaid,2022-08-18,12701.82,441.72,2772.00,370.20,3
CUST0046,Mr. Nathaniel Khan,South,50,Prepaid,2024-12-12,35954.16,1063.76,4560.00,4084.96,2
CUST0047,Richard Aguirre,East,58,Prepaid,2023-04-22,14508.81,304.65,1080.00,221.94,3
CUST0048,Matthew Gomez,north,41,Prepaid,2024-03-30,32815.50,576.50,6035.00,5955.00,0
CUST0049,Nicholas Nunez,North,56,Postpaid,2025-03-30,20729.34,480.51,2655.00,1881.78,3
CUST0050,James Morgan,West,19,Prepaid,2022-12-17,4030.04,83.70,475.00,366.12,1
CUST0051,Connor West,East,69,Postpaid,2024-04-16,106184.10,1983.30,12165.00,9626.25,3
CUST0052,Joel Baxter,South,21,Prepaid,2022-10-26,1340.88,47.82,390.00,194.13,0
CUST0053,Scott Pierce,North,23,Postpaid,2022-09-17,6680.41,81.28,654.00,85.16,0
CUST0054,Kimberly Smith,North,66,Prepaid,2022-11-22,8090.94,347.25,1584.00,2618.76,1
CUST0055,Sarah Martin,South,60,Postpaid,2024-07-24,18493.50,316.95,1959.00,2246.52,0
CUST0056,Dr. Steven Martin,South,34,Postpaid,2022-07-04,12261.76,282.72,408.00,1249.12,2
CUST0057,Mrs. Rachel Gibson,South,52,Prepaid,2024-04-18,47893.80,422.24,1524.00,2187.64,1
CUST0058,Monica Logan,East,43,Postpaid,2025-04-24,8249.15,215.45,2465.00,1067.68,1
CUST0059,Brittney Phillips,West,51,Postpaid,2022-09-29,2101.32,66.10,946.00,122.06,0
CUST0060,Kimberly Adkins,North,33,Prepaid,2022-09-27,36483.84,633.68,4056.00,3820.14,2
CUST0061,John Calhoun,North,39,Prepaid,2024-10-03,56044.44,1040.16,8928.00,5486.08,2
CUST0062,Tyler Miller,South,55,Prepaid,2023-04-15,31087.62,833.40,3159.00,5487.48,3
CUST0063,Barry Hensley,North,22,Prepaid,2024-03-19,126772.32,2399.68,16896.00,18347.98,2
CUST0064,Steve Sanchez,South,22,Prepaid,2025-01-09,11258.97,84.54,1317.00,1366.68,1
CUST0066,Taylor Harris,East,60,Postpaid,2023-11-01,17205.76,274.96,1296.00,2695.11,1
CUST0067,James Powers,South,52,Prepaid,2023-10-10,15622.38,578.52,2943.00,2606.34,1
CUST0068,Timothy Walls,West,33,Postpaid,2022-07-15,17494.56,309.96,1881.00,2789.50,0
CUST0069,Zachary Ferrell,West,30,Prepaid,2022-10-22,5107.26,109.42,1016.00,705.62,1
CUST0070,Katie Anderson,North,60,Postpaid,2023-12-25,82085.58,690.60,4374.00,4022.44,0
CUST0071,Sherry Wood,East,45,Postpaid,2023-03-03,23027.36,614.08,2968.00,3168.78,2
CUST0072,Joshua Turner,West,64,Prepaid,2025-04-11,12079.80,249.30,2380.00,4841.08,0
CUST0073,Mary Spencer,North,21,Postpaid,2025-04-26,39049.56,1545.36,1476.00,6424.56,3
CUST0074,Shawn Baker,East,69,Prepaid,2022-12-14,7093.49,121.36,819.00,1675.50,0
CUST0075,Brittney Campbell,South,30,Prepaid,2023-05-24,6047.67,318.51,2364.00,2886.05,1
CUST0076,Christina Walters,West,26,Postpaid,2023-08-15,1480.35,157.00,1495.00,709.41,0
CUST0077,Danielle Odonnell,South,35,Postpaid,2022-09-17,16633.71,336.69,3708.00,2528.95,1
CUST0078,Jeff Hill,South,22,Postpaid,2022-07-06,54982.32,569.04,4692.00,10244.40,3
CUST0079,Carlos Whitney,North,21,Prepaid,2023-03-09,42405.18,1177.62,8460.00,6078.84,2
CUST0080,Kristen Patterson,North,66,Prepaid,2022-07-16,48376.35,1366.56,11367.00,7098.90,3
CUST0081,Tony Vazquez,South,44,Postpaid,2023-02-17,7425.24,198.36,816.00,518.94,3
CUST0082,Sandra Aguilar,West,31,Postpaid,2023-02-16,4821.72,423.36,1896.00,1808.55,3
CUST0083,Andrew Diaz,North,28,Postpaid,2022-08-31,20302.32,470.52,1146.00,3078.45,3
CUST0084,Christine Wright,North,42,Postpaid,2022-12-07,112467.30,1724.10,12330.00,17531.82,3
CUST0085,Justin Baxter,West,36,Postpaid,2025-02-19,5365.14,120.60,1407.00,974.40,3
CUST0086,Tammy Young,West,27,Prepaid,2023-03-10,33381.18,415.38,3156.00,4006.15,1
CUST0087,Rita Keith,East,31,Prepaid,2022-08-08,7723.64,275.60,1748.00,1017.12,2
CUST0088,Tim Patton,North,65,Postpaid,2024-03-31,3297.16,148.92,892.00,607.30,0
CUST0089,Sharon Cochran,North,21,Postpaid,2023-08-19,5679.12,26.10,960.00,1059.64,2
CUST0090,Michael Reyes,South,21,Prepaid,2022-08-30,4460.84,140.25,882.00,115.65,1
CUST0091,Courtney Velasquez,South,22,Prepaid,2024-06-15,51758.28,1691.64,9216.00,9189.80,2
CUST0092,Robert Savage,South,43,Prepaid,2023-06-12,17701.80,615.60,1512.00,4738.48,2
CUST0093,Corey Murphy,South,55,Prepaid,2022-10-16,10278.57,209.07,1398.00,370.56,3
CUST0094,Diana May,North,44,Postpaid,2024-03-12,58083.20,1184.80,7632.00,9969.00,2
CUST0095,Sarah Rivera,East,31,Postpaid,2022-08-12,6535.50,244.40,230.00,847.28,0
CUST0096,Wesley White,South,34,Postpaid,2023-08-17,35165.40,879.90,3996.00,3425.10,0
CUST0097,Kyle Reed,South,60,Postpaid,2023-10-31,68948.76,1997.88,8376.00,6099.48,3
CUST0098,William Wilson,West,38,Prepaid,2024-12-12,14757.40,1060.80,2930.00,4711.02,2
CUST0099,Andrew Graham,North,47,Prepaid,2024-09-15,4830.27,263.13,1233.00,1453.02,0
CUST0100,Kimberly Ball,North,52,Prepaid,2025-05-07,15889.60,752.20,5290.00,3152.60,2
